trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.15215658361427,"{0: 7, 1: 5, 2: 3, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-138.74794745383392,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-119.70359632674224,"{0: 23, 1: 2, 2: 1, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-125.08001252013965,"{0: 16, 1: 9, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-74.73668354556878,"{0: 18, 1: 6, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-242.99422278855667,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-94.3741074310741,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-91.57406503820904,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-91.9594655579247,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-133.66317740385233,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-55.80428680959648,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-21.880258393357767,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-30.66958297858934,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-22.511410348762702,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-80.30617004975657,"{0: 13, 1: 10, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-106.1238851844039,"{0: 8, 1: 9, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-56.57629822286015,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-19.822188870237877,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-40.0092329405993,"{0: 14, 1: 10, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-11.765755896689349,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-22.96510960232765,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",35,0,-40.1925685653224,"{0: 21, 1: 14, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-12.246174057278996,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-44.608310860306524,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,1.2415378993232693,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-6.570132807912168,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-18.055024515112862,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,1.2900135037584253,"{0: 23, 1: 7, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-17.70306108591119,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,8.561080322581395,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
