trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-232.429619404975,"{0: 15, 1: 6, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-90.1333057001713,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,10,-138.28636142535262,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 3}",1
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-187.70614924367183,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,0,-58.00508269464419,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-72.35098672230264,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-95.08415365077093,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-40.859672805586875,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",35,0,-125.23032815110888,"{0: 20, 1: 4, 2: 9, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",35,0,-147.82888607969488,"{0: 24, 1: 2, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",30,0,-100.65018646729737,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-89.32299308554462,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-40.142004064174316,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",30,11,-59.37252194936407,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-74.00183313198514,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-32.61247526142613,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-131.45540613576043,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-62.07988851199858,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
