trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-717.6691947803884,"{0: 59, 1: 16, 2: 34, 3: 3, 4: 8}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-681.6249024015074,"{0: 69, 1: 12, 2: 24, 3: 6, 4: 9}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-15,-186.48576627488058,"{0: 21, 1: 4, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-100,-623.6317699077574,"{0: 77, 1: 13, 2: 20, 3: 7, 4: 8}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-25,-182.48399044469554,"{0: 34, 1: 7, 2: 12, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-100,-615.6027390266959,"{0: 79, 1: 12, 2: 17, 3: 9, 4: 8}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-9,-121.90061781118143,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-100,-754.7139800711426,"{0: 78, 1: 11, 2: 19, 3: 3, 4: 14}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-545.7945567669171,"{0: 73, 1: 11, 2: 27, 3: 2, 4: 7}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-37,-371.88358837444935,"{0: 35, 1: 9, 2: 10, 3: 2, 4: 6}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-459.46180627760947,"{0: 77, 1: 12, 2: 22, 3: 4, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-435.6192970322386,"{0: 83, 1: 9, 2: 19, 3: 2, 4: 7}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,-56,-463.96134606509304,"{0: 53, 1: 8, 2: 13, 3: 5, 4: 7}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-100,-533.7610440979142,"{0: 71, 1: 13, 2: 26, 3: 4, 4: 6}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-49,-415.78023984087616,"{0: 43, 1: 6, 2: 11, 3: 1, 4: 8}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-83,-419.184633311808,"{0: 63, 1: 11, 2: 22, 3: 2, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,-53,-378.5488982224461,"{0: 49, 1: 9, 2: 11, 3: 3, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-12,-181.6416419542518,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-63,-381.1995486030526,"{0: 49, 1: 9, 2: 17, 3: 4, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-100,-475.45362776600734,"{0: 85, 1: 9, 2: 20, 3: 4, 4: 7}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-10,-105.33497337660899,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-7,-171.283499345453,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,-5,-227.05640202264144,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-100,-631.2717769354349,"{0: 71, 1: 10, 2: 23, 3: 9, 4: 7}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-100,-486.54224119934526,"{0: 87, 1: 10, 2: 16, 3: 4, 4: 8}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,8,-32.26947770145163,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,-100,-579.8737486825161,"{0: 82, 1: 9, 2: 21, 3: 4, 4: 9}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,-77,-708.1327529229434,"{0: 55, 1: 8, 2: 25, 3: 3, 4: 11}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-62,-428.86916467445184,"{0: 42, 1: 15, 2: 17, 3: 4, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-72,-500.4593589568228,"{0: 59, 1: 9, 2: 17, 3: 5, 4: 7}",0
